CaptionedImages ,  InsertTableImage ,  ManageTab ,  ProjPreview ,  ReEditProj ,  ReportsTab ,  SEDeleteElement ,  SEDragIn ,  SEDragMove ,  SEDragResize ,  SendNow ,  SEPadding ,  SocialAutoPost ,  TestSend ,  TxtViewSource,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportsTab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManageTab ,  ProjPreview ,  ReEditProj ,  SendNow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManageTab ,  ReportsTab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManageTab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UseBlankTemplate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProjPreview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CopyProj ,  InsertLinkAnchor ,  InsertTableImage ,  ManageTab ,  ProjPreview ,  ReEditProj ,  SendNow ,  TestSend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportsTab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LinkActivity ,  ManageTab ,  OpenReport ,  OpenReportList ,  OpensAndBounces ,  OpensByPlatform ,  ReEditProj ,  ReportsTab ,  ReSchedProj ,  SendNow ,  UnopenedData ,  UserAgent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenData ,  OpenReport ,  OpenReportList ,  OpensAndBounces ,  ReportsTab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CopyProj ,  SEDragResize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReEditProj ,  SEDragMove ,  SEDragResize ,  TestSend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReEditProj ,  SEDeleteElement ,  SEDragMove ,  SEDragResize ,  TestSend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManageTab ,  ReEditProj ,  ReportsTab ,  SendNow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
