"","CUSTOMER_SK","TOTAL_No_Of_PURCHASE","TOTAL_REVENUE","RECENCY","TOTAL_No_of_VISITS","DISTINCT_PRODUCTS","AVERAGE_SPEND","CITY_NM","pkm$cluster"
"224",58258258,649,2303.86959,111,65,244,35.44414754,"HALIFAX",6
"225",53712438,600,2302.37954,243,29,324,79.39239793,"",2
"226",58338206,642,2299.45981,110,30,339,76.64866033,"HALIFAX",2
"227",59609429,566,2296.92956,114,56,218,41.01659929,"HALIFAX",6
"228",40173104,469,2295.53955,244,18,149,127.529975,"HALIFAX",3
"229",59080575,631,2294.09965,109,67,297,34.24029328,"HALIFAX",6
"230",22746387,511,2291.31962,243,34,259,67.39175353,"BEDFORD",4
"231",60915693,623,2282.97963,110,38,361,60.07841132,"MOUNT UNIA",6
"232",28181258,744,2282.96981,242,57,341,40.05210193,"HALIFAX",2
"233",60674740,649,2282.62968,112,27,205,84.54184,"HALIFAX",5
"234",62370973,665,2277.74961,112,36,293,63.2708225,"HALIFAX",6
"235",20771796,598,2276.27961,242,35,340,65.03656029,"FREDERICTO",4
"236",59984800,613,2267.4397,109,80,234,28.34299625,"HALIFAX",6
"237",58304871,698,2261.93953,109,58,292,38.99895741,"HALIFAX",6
"238",60451034,642,2253.06964,111,30,200,75.10232133,"HALIFAX",5
"239",39307935,614,2250.92947,242,16,298,140.6830919,"HALIFAX",2
"240",58997375,611,2249.86968,110,47,298,47.86956766,"HALIFAX",6
"241",22211953,628,2247.36965,246,66,281,34.0510553,"HALIFAX",4
"242",59016692,622,2244.75961,111,53,300,42.35395491,"HALIFAX",6
"243",58910536,642,2243.34968,111,30,301,74.77832267,"HALIFAX",5
"244",22114727,648,2243.28965,242,19,353,118.0678763,"HALIFAX",2
"245",60616860,643,2237.98968,109,19,291,117.7889305,"HALIFAX",5
"246",22208939,618,2225.12967,243,28,265,79.46891679,"HALIFAX",4
"247",62396030,605,2224.42963,109,42,292,52.96261024,"HALIFAX",6
"248",21432198,549,2224.25966,242,60,242,37.07099433,"HALIFAX",4
"249",37702347,639,2220.49971,242,56,258,39.65178054,"HALIFAX",4
"250",22284372,751,2220.48943,248,25,266,88.8195772,"HALIFAX",2
"251",39649111,573,2219.56973,246,25,395,88.7827892,"HALIFAX",2
"252",58870891,797,2219.11995,110,130,401,17.07015346,"HALIFAX",6
"253",53325366,751,2218.2997,248,42,303,52.81665952,"EAST YORK",2
"254",58353292,614,2211.31982,111,52,209,42.52538115,"HALIFAX",6
"255",59087787,571,2206.89943,115,32,251,68.96560719,"HALIFAX",5
"256",61353661,918,2199.26975,109,59,235,37.27575847,"HALIFAX",6
"257",59981468,622,2197.49976,110,96,251,22.8906225,"HALIFAX",6
"258",20788623,584,2196.19965,244,41,230,53.56584512,"HALIFAX",4
