"","ITEM_SK","TOTAL_REVENUE","BASKETS","DISTINCT_CUSTOMERS","AVERAGE_PRICE","PRODUCT_NAME","PRODUCT_CAT","pkm$cluster"
"1558",12802527,1618.17993,322,160,4.810300118,"Dairy Chees","Dairy",1
"1559",11607871,1614.63,458,264,3.463144105,"Rice","Grocery",2
"1560",12788402,1614.60994,246,156,6.467795796,"Dairy Chees","Dairy",1
"1561",13056658,1614.37996,334,184,4.539429386,"Deli Meats-","Deli",1
"1562",12714077,1613.45,389,131,3.974329897,"Organic And","Dairy",1
"1563",11647856,1610.73996,653,377,1.717023984,"Canned Vege","Grocery",2
"1564",11633309,1610.34,459,277,3.457320261,"Salad Dress","Grocery",2
"1565",13960140,1610.28,489,220,3.128752556,"Organic &Na","Grocery",2
"1566",11743803,1609.0799,289,128,5.357289351,"Cookies","Instore Bake",1
"1567",11952637,1606.64999,559,245,2.699247307,"Organic &Na","Grocery",2
"1568",11746306,1606.41988,338,123,4.120425209,"Milk Produc","Dairy",1
"1569",11664558,1604.59998,554,228,2.729891689,"Alternative","Instore Bake",2
"1570",11747841,1603.01,546,272,2.757710623,"Refrigerate","Dairy",2
"1571",12202379,1602.96994,253,171,6.319881304,"Household O","Grocery",1
"1572",12751434,1602.39988,284,112,5.430985704,"Sushi","Seafood",1
"1573",11872777,1601.58997,386,181,3.915725363,"Alternative","Instore Bake",1
"1574",11647464,1600.4884,168,97,9.522415629,"Deli Cheese","Deli",4
"1575",12240071,1600.25997,414,233,3.697497961,"Dairy Chees","Dairy",2
"1576",12758350,1600.01938,182,118,8.664932293,"Paper","Grocery",4
"1577",11602869,1599.9984,162,110,9.628354761,"Dry Produce","Produce",4
"1578",14356587,1599.9984,161,96,9.74999025,"Paper","Grocery",4
"1579",14509161,1599.89995,337,158,3.963164649,"Cereal","Grocery",1
"1580",11633395,1599.80999,267,157,5.923999981,"Condiment","Grocery",1
"1581",11697169,1599.67872,164,58,9.662675213,"Organic &Na","Grocery",4
"1582",11673202,1599.31,433,131,3.561527778,"Bread Produ","Commercial B",2
"1583",11640709,1598.01999,395,243,3.917628684,"Cooking Veg","Produce",1
"1584",12802528,1597.54998,325,189,4.72637858,"Dairy Chees","Dairy",1
"1585",12611553,1597.33996,310,182,4.944430048,"Frozen Dess","Frozen Groce",1
"1586",12788290,1596.1798,356,191,3.62718293,"Milk Produc","Dairy",2
"1587",13797803,1595.14991,373,160,4.090497198,"Other Fruit","Produce",1
"1588",12914689,1594.83995,435,233,3.184054513,"Other Deli","Deli",2
"1589",11648392,1594.0999,322,153,4.24666657,"Milk Produc","Dairy",1
"1590",11673700,1594.01956,296,165,2.257756527,"Floral","Garden Centr",2
"1591",11695605,1593.91998,310,176,5.113720403,"Butter And ","Dairy",1
"1592",11842760,1592.95976,240,111,6.167237992,"Deli Meats-","Deli",1
"1593",12187227,1592.60998,455,211,3.214038167,"Tomatoes","Produce",2
"1594",11837658,1591.86,423,225,3.668250591,"Dairy Chees","Dairy",2
"1595",11664996,1590.35894,254,76,6.24157065,"HMR Chicken","Home Meal Re",1
"1596",11631179,1590.24,417,250,3.517494005,"Bread Produ","Commercial B",2
"1597",11842609,1589.1,731,357,2.121326949,"Salted Snac","Grocery",2
"1598",14531005,1586.6699,252,115,6.072337131,"Refrigerate","Dairy",1
"1599",11907217,1586.5,560,350,2.765071429,"Frozen Vege","Frozen Groce",2
"1600",14389782,1586.43999,525,175,2.870992362,"Other Fruit","Produce",2
"1601",14073327,1584.65982,446,165,2.673115797,"Alternative","Grocery",2
"1602",11746209,1584.46994,319,187,4.290188626,"Milk Produc","Dairy",1
"1603",12841036,1584.23982,266,150,5.324285423,"Alternative","Grocery",1
"1604",12903212,1583.60991,596,273,1.291834239,"Organic Pro","Produce",2
"1605",12932331,1583.47988,437,212,3.048497201,"Beef","Meat",2
"1606",11618297,1583.41,484,200,3.246804979,"Bagel","Instore Bake",2
"1607",12860010,1583.09,336,184,4.650714286,"Yogurt","Dairy",1
"1608",12192939,1583.00996,441,145,3.280502263,"Bread Produ","Commercial B",2
"1609",12773833,1582.97999,481,209,3.100215271,"Pastries","Instore Bake",2
"1610",14878470,1582.12997,384,236,3.738372363,"Dairy Chees","Dairy",2
"1611",11660987,1581.19,561,350,2.253244207,"Tomatoes","Produce",2
"1612",12510338,1580.45996,249,160,6.292177339,"Household O","Grocery",1
"1613",15059659,1580.29993,375,156,3.585552527,"Yogurt","Dairy",2
"1614",11694843,1580.25993,377,167,3.932559961,"Refrigerate","Produce",1
"1615",12782857,1579.94969,186,119,8.333063011,"Oil","Grocery",4
"1616",11697153,1579.75866,160,84,9.692811375,"Organic &Na","Grocery",4
"1617",11749578,1579.48997,412,99,3.36006486,"Bread Produ","Commercial B",2
"1618",14345340,1578.97,485,183,3.215505155,"Breads","Instore Bake",2
"1619",11843609,1576.86998,325,184,4.745588204,"Frozen Ice ","Frozen Groce",1
"1620",14355018,1574.04,485,153,3.179628866,"Sandwich / ","Home Meal Re",2
"1621",11658016,1573.21996,276,137,5.477426953,"Cereal","Grocery",1
"1622",11682299,1571.99995,391,220,3.717257895,"Processed","Meat",2
"1623",11673336,1570.44992,267,121,5.622255489,"Frozen Ice ","Frozen Groce",1
"1624",12185944,1569.99843,158,70,6.943628685,"Services - ","Services",4
"1625",15268603,1567.96999,1289,427,1.028443237,"Alternative","Grocery",2
"1626",14543014,1567.64995,272,130,5.570904498,"Frozen Pizz","Frozen Groce",1
"1627",12727742,1566.68997,189,78,8.209999921,"Bulk Food","Bulk",4
"1628",14856670,1566.13987,248,163,6.036894899,"Dairy Chees","Dairy",1
"1629",11752646,1565.66985,373,212,3.082949629,"Horticultur","Floral",2
"1630",13789511,1565.38997,303,121,5.133741672,"Cooking Veg","Produce",1
"1631",11731806,1564.69924,193,106,8.081343238,"Fin-Fish Fr","Seafood",4
"1632",11972272,1564.03989,328,143,4.67320093,"Other Fruit","Produce",1
"1633",11706367,1563.68999,331,188,4.685397779,"Spreads And","Grocery",1
"1634",11682242,1563.26997,311,147,4.761064476,"Frozen Pizz","Frozen Groce",1
"1635",11743089,1563.1,639,169,2.343642072,"Sandwich / ","Home Meal Re",2
"1636",11670858,1562.76984,334,175,2.165564499,"Canned and ","Grocery",2
"1637",11666765,1562.33999,362,241,4.235791892,"Spreads And","Grocery",1
"1638",15253127,1561.62998,391,185,3.74267688,"Soft Drinks","Grocery",2
"1639",15165119,1560.15984,190,124,7.906771539,"Laundry","Grocery",4
"1640",15092874,1560.07882,174,65,8.678614195,"Cooked Meal","Home Meal Re",4
"1641",12932703,1559.92845,169,94,9.112002781,"Beef","Meat",4
"1642",12802561,1558.67996,311,150,4.730428675,"Dairy Chees","Dairy",1
"1643",14964172,1558.59984,158,60,9.468860269,"Hot Beverag","Grocery",4
"1644",11677612,1558.33999,315,148,4.758042317,"Pickles-Ant","Deli",1
